"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Calliope pectoralis",NA,6,0,6,2016,2023
"Carpodacus rubicilla",NA,6,0,6,2013,2023
"Cephalopyrus flammiceps","Cephalopyrus flammiceps (Burton, 1836)",6,6,0,2021,2024
"Columba leuconota","Columba leuconota Vigors, 1831",6,6,0,2022,2023
"Emberiza lathami","Emberiza lathami J.E.Gray, 1831",6,6,0,2021,2022
"Ficedula superciliaris",NA,6,0,6,2016,2024
"Haliastur indus","Haliastur indus (Boddaert, 1783)",6,6,0,2020,2020
"Larvivora brunnea",NA,6,0,6,2021,2025
"Mareca penelope","Mareca penelope (Linnaeus, 1758)",6,6,0,2018,2023
"Phylloscopus chloronotus",NA,6,0,6,2021,2025
"Phylloscopus collybita",NA,6,0,6,2019,2025
"Phylloscopus humei",NA,6,0,6,2017,2025
"Prunella atrogularis","Prunella atrogularis (Brandt, 1843)",6,6,0,2020,2024
"Prunella fulvescens",NA,6,0,6,2013,2025
"Spilopelia senegalensis",NA,6,0,6,2021,2024
"Streptopelia decaocto",NA,6,0,6,2020,2024
"Turdus boulboul",NA,6,0,6,2022,2025
"Zapornia fusca",NA,6,0,6,2020,2023
"Acridotheres fuscus",NA,5,0,5,2020,2025
"Alauda arvensis","Alauda arvensis Linnaeus, 1758",5,5,0,2019,2023
"Botaurus minutus",NA,5,0,5,2021,2025
"Carpodacus grandis","Carpodacus grandis Blyth, 1849",5,5,0,2021,2024
"Cinclus cinclus",NA,5,0,5,2017,2024
"Columba livia","Columba livia var. domestica J.F.Gmelin, 1789",5,5,0,2024,2024
"Corvus corax",NA,5,0,5,2015,2025
"Dendrocitta formosae","Dendrocitta formosae Swinhoe, 1863",5,5,0,2020,2021
"Falco subbuteo",NA,5,0,5,2019,2025
"Falco tinnunculus",NA,5,0,5,2021,2025
"Heterophasia capistrata","Heterophasia capistrata (Vigors, 1831)",5,5,0,2022,2024
"Himantopus himantopus",NA,5,0,5,2020,2024
"Leucosticte brandti",NA,5,0,5,2013,2022
"Mareca strepera",NA,5,0,5,2012,2025
"Phoenicurus coeruleocephala",NA,5,0,5,2021,2025
