"species","scientificName","priority_score","priority_level","total_records","n_grid_cells","rarity_score","range_score","trend_score"
"Monticola rufiventris",NA,76,"High Priority",1,3,100,80,40
"Montifringilla adamsi","Montifringilla adamsi Adams, 1859",76,"High Priority",1,3,100,80,40
"Motacilla flava",NA,76,"High Priority",1,4,100,80,40
"Oenanthe isabellina","Oenanthe isabellina (Temminck, 1829)",76,"High Priority",1,3,100,80,40
"Otus lettia","Otus lettia (Hodgson, 1836)",76,"High Priority",1,3,100,80,40
"Prinia hodgsonii",NA,76,"High Priority",1,3,100,80,40
"Pseudopodoces humilis",NA,76,"High Priority",1,3,100,80,40
"Scolopax rusticola",NA,76,"High Priority",1,3,100,80,40
"Spinus spinus",NA,76,"High Priority",1,3,100,80,40
"Tringa glareola",NA,76,"High Priority",1,3,100,80,40
"Tringa totanus",NA,76,"High Priority",1,3,100,80,40
"Turdus maximus",NA,76,"High Priority",1,3,100,80,40
"Alauda arvensis","Alauda arvensis Linnaeus, 1758",70,"High Priority",5,5,100,80,20
"Heterophasia capistrata","Heterophasia capistrata (Vigors, 1831)",70,"High Priority",5,3,100,80,20
"Alauda gulgula","Alauda gulgula Franklin, 1831",70,"High Priority",4,5,100,80,20
"Fringilla coelebs","Fringilla coelebs Linnaeus, 1758",70,"High Priority",4,5,100,80,20
"Gallinago gallinago",NA,70,"High Priority",4,4,100,80,20
"Lanius excubitor",NA,70,"High Priority",4,3,100,80,20
"Locustella major",NA,70,"High Priority",4,4,100,80,20
"Megaceryle lugubris","Megaceryle lugubris (Temminck, 1834)",70,"High Priority",4,5,100,80,20
"Turdus viscivorus","Turdus viscivorus Linnaeus, 1758",70,"High Priority",4,7,100,60,40
"Alauda arvensis",NA,70,"High Priority",3,5,100,80,20
"Alauda gulgula",NA,70,"High Priority",3,5,100,80,20
"Aythya ferina",NA,70,"High Priority",3,7,100,60,40
"Aythya fuligula",NA,70,"High Priority",3,6,100,60,40
"Emberiza fucata",NA,70,"High Priority",3,5,100,80,20
"Ficedula tricolor",NA,70,"High Priority",3,5,100,80,20
"Gallinago gallinago","Gallinago gallinago (Linnaeus, 1758)",70,"High Priority",3,4,100,80,20
"Oenanthe deserti","Oenanthe deserti (Temminck, 1825)",70,"High Priority",3,5,100,80,20
"Oenanthe deserti",NA,70,"High Priority",3,5,100,80,20
"Prunella himalayana","Prunella himalayana (Blyth, 1842)",70,"High Priority",3,6,100,60,40
"Prunella himalayana",NA,70,"High Priority",3,6,100,60,40
"Strix aluco","Strix aluco Linnaeus, 1758",70,"High Priority",3,5,100,80,20
"Strix aluco",NA,70,"High Priority",3,5,100,80,20
"Turdus viscivorus",NA,70,"High Priority",3,7,100,60,40
"Cephalopyrus flammiceps",NA,70,"High Priority",2,4,100,80,20
"Fringilla coelebs",NA,70,"High Priority",2,5,100,80,20
"Lanius excubitor","Lanius excubitor Linnaeus, 1758",70,"High Priority",2,3,100,80,20
"Locustella major","Locustella major (W.E.Brooks, 1871)",70,"High Priority",2,4,100,80,20
"Lophura leucomelanos",NA,70,"High Priority",2,5,100,80,20
"Megaceryle lugubris",NA,70,"High Priority",2,5,100,80,20
"Picumnus innominatus",NA,70,"High Priority",2,5,100,80,20
"Psittacula eupatria","Psittacula eupatria (Linnaeus, 1766)",70,"High Priority",2,3,100,80,20
"Emberiza citrinella","Emberiza citrinella Linnaeus, 1758",70,"High Priority",1,4,100,80,20
"Heterophasia capistrata",NA,70,"High Priority",1,3,100,80,20
"Lophura leucomelanos","Lophura leucomelanos hamiltonii (J.E.Gray, 1829)",70,"High Priority",1,5,100,80,20
"Pteruthius xanthochlorus",NA,70,"High Priority",1,5,100,80,20
"Rallus aquaticus","Rallus aquaticus Linnaeus, 1758",70,"High Priority",1,4,100,80,20
"Glaucidium brodiei","Taenioptynx brodiei (Burton, 1836)",68,"High Priority",10,2,80,100,20
"Tarsiger chrysaeus","Tarsiger chrysaeus Hodgson, 1845",68,"High Priority",8,1,80,100,20
"Acrocephalus stentoreus",NA,68,"High Priority",6,5,80,80,40
"Aegithalos leucogenys","Aegithalos leucogenys (Moore, 1854)",68,"High Priority",6,3,80,80,40
"Calliope pectoralis",NA,68,"High Priority",6,5,80,80,40
"Emberiza lathami","Emberiza lathami J.E.Gray, 1831",68,"High Priority",6,4,80,80,40
"Haliastur indus","Haliastur indus (Boddaert, 1783)",68,"High Priority",6,1,80,100,20
"Mareca penelope","Mareca penelope (Linnaeus, 1758)",68,"High Priority",6,4,80,80,40
"Carpodacus grandis","Carpodacus grandis Blyth, 1849",64,"High Priority",5,8,100,60,20
"Cinclus cinclus",NA,64,"High Priority",5,9,100,60,20
"Leucosticte brandti",NA,64,"High Priority",5,7,100,60,20
"Phylloscopus affinis",NA,64,"High Priority",5,8,100,60,20
"Prunella atrogularis",NA,64,"High Priority",5,8,100,60,20
"Anas crecca",NA,64,"High Priority",4,8,100,60,20
"Buteo refectus","Buteo refectus Portenko, 1935",64,"High Priority",4,7,100,60,20
"Catreus wallichii",NA,64,"High Priority",4,6,100,60,20
"Columba leuconota",NA,64,"High Priority",4,9,100,60,20
"Leptopoecile sophiae",NA,64,"High Priority",4,6,100,60,20
"Lophophorus impejanus",NA,64,"High Priority",4,9,100,60,20
"Niltava sundara",NA,64,"High Priority",4,6,100,60,20
"Pernis ptilorhynchus",NA,64,"High Priority",4,9,100,60,20
"Phoenicurus erythronotus",NA,64,"High Priority",4,9,100,60,20
"Phoenicurus frontalis",NA,64,"High Priority",4,8,100,60,20
"Regulus regulus",NA,64,"High Priority",4,10,100,60,20
"Tetraogallus himalayensis",NA,64,"High Priority",4,9,100,60,20
"Ceryle rudis","Ceryle rudis (Linnaeus, 1758)",64,"High Priority",3,6,100,60,20
"Coracias garrulus",NA,64,"High Priority",3,10,100,60,20
"Culicicapa ceylonensis",NA,64,"High Priority",3,8,100,60,20
"Emberiza leucocephalos","Emberiza leucocephalos S.G.Gmelin, 1771",64,"High Priority",3,7,100,60,20
"Francolinus francolinus",NA,64,"High Priority",3,7,100,60,20
"Fringilla montifringilla","Fringilla montifringilla Linnaeus, 1758",64,"High Priority",3,8,100,60,20
"Glaucidium cuculoides",NA,64,"High Priority",3,7,100,60,20
"Ibidorhyncha struthersii","Ibidorhyncha struthersii Vigors, 1832",64,"High Priority",3,7,100,60,20
"Orthotomus sutorius",NA,64,"High Priority",3,6,100,60,20
